Accession	Description	Gene	Sum PEP Score	Coverage in Percent	Number of Peptides	Number of PSMs	Number of Unique Peptides	Number of AAs	MW [kDa]	calc. pI	Number of Peptides (by Search Engine): A2 Sequest HT	# Peptides (by Search Engine): AA2 Sequest HT	# Peptides (by Search Engine): AB2 Sequest HT	# Peptides (by Search Engine): AC2 Sequest HT	# Peptides (by Search Engine): AD2 Sequest HT	# Peptides (by Search Engine): AE2 Sequest HT	S1rep1	S1rep2	S1rep3	S2rep1	S2rep2	S2rep3
B4F7C2	Tubulin beta chain	Tubb4a	463.966	75	29	7534	7	444	49.6	4.88	24	23	25	24	24	24	302020540.9	290828376	284317893.1	253384155.8	235060061.8	221007458.1
D3ZRN3	Actin, beta-like 2	Actbl2	150.117	40	13	1821	4	376	41.9	5.49	10	11	13	11	12	11	414205148.8	409254181.4	403076066.7	342936744.7	311234445.5	294304996.5
D3ZNW5	Neurofascin	Nfasc	223.424	36	33	1091	2	1174	132.1	6.7	21	23	22	26	22	19	1223214.125	947568.25	972286.6563	965912.4063	960073.0625	514913.1563
D3ZKD9	Microtubule-associated protein	Mapt	150.259	61	16	1055	1	374	39.1	9.5	16	16	15	15	16	15	5370777	6115860.781	5479991	4936874.016	4376076.719	4391193.609
D3ZC55	Heat shock 70kDa protein 12A (Predicted), isoform CRA_a	Hspa12a	207.207	55	29	1031	29	675	74.8	6.61	22	23	22	22	21	24	114706578.4	110228990.9	108956287.1	89542230.41	84196763.02	79199998.66
A7VJC2	Heterogeneous nuclear ribonucleoproteins A2/B1	Hnrnpa2b1	145.944	57	17	972	16	353	37.5	8.95	14	14	15	14	15	14	127459993.9	121139454.5	117672251	91339683.63	83821730.23	77363472.03
A0A1W2Q6Q2	Serine/threonine-protein kinase DCLK1	Dclk1	177.393	48	22	861	22	739	82	8.73	16	16	16	16	16	16	70811816.47	73571613.05	68791087.81	62671175.25	56793365.72	55423084.33
B3GNI6	Septin-11	Septin11	121.052	57	18	849	10	431	49.7	6.68	16	16	15	15	15	16	48968653.81	50416485.81	47053607.88	34710598.63	31693453.97	27728214.94
D3ZDT1	Erythrocyte membrane protein band 4.1-like 2	Epb41l2	180.439	41	30	833	1	926	102.5	5.35	21	20	17	16	18	19	665156.125	657250.1875	674581.6875	528074.8125	405631.1563	442804.0938
D3ZCV0	Actinin alpha 2	Actn2	219.461	44	33	826	19	894	103.8	5.45	25	19	18	17	18	21	21822731.81	22750825.34	20914588.69	16062351.3	15376252.11	12981486.48
D3ZQD3	Oxoglutarate dehydrogenase-like	Ogdhl	166.523	34	25	807	18	1010	114.6	6.93	19	15	16	16	17	18	22825253.14	23428412.02	23438497.7	16404434.56	16292505.15	15779627.52
B5DFG5	RCG53214, isoform CRA_d	06-sept	108.768	48	15	694	9	427	48.7	6.67	13	12	12	11	13	13	26845870.69	26626489.69	26560124.69	21846533.25	19758153.91	19330091.59
D3ZDH8	Septin 5	05-sept	106.827	59	17	661	15	378	43.9	6.67	14	11	12	13	12	13	87732427.3	92091627.95	85455211.83	65332123.88	60474433.6	55547543.57
