yourlist:M20200427A94466D2655679D1FD8953E075198DA87FE7E1E	isomap:M20200427A94466D2655679D1FD8953E075198DA87FE7E1E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
enst00000410108		B8ZZS0	B8ZZS0_HUMAN	unreviewed	BET1-like protein	BET1L	Homo sapiens (Human)	152
enst00000342878		Q8TD33	SG1C1_HUMAN	reviewed	Secretoglobin family 1C member 1 (Secretoglobin RYD5)	SCGB1C1	Homo sapiens (Human)	95
enst00000325113,enst00000525282	enst00000525282 -> Q96PU9-3,enst00000325113 -> Q96PU9-1	Q96PU9	ODF3A_HUMAN	reviewed	Outer dense fiber protein 3 (Outer dense fiber of sperm tails protein 3) (Sperm tail protein SHIPPO 1) (Transcript induced in spermiogenesis protein 50)	ODF3 SHIPPO1 TISP50	Homo sapiens (Human)	254
enst00000342593		F8W6Z3	F8W6Z3_HUMAN	unreviewed	Outer dense fiber protein 3	ODF3	Homo sapiens (Human)	127
enst00000325147		A0A0C4DH16	A0A0C4DH16_HUMAN	unreviewed	BET1-like protein	BET1L	Homo sapiens (Human)	102
enst00000382762		Q9NYM9	BET1L_HUMAN	reviewed	BET1-like protein (Golgi SNARE with a size of 15 kDa) (GOS-15) (GS15) (Vesicle transport protein GOS15)	BET1L GS15	Homo sapiens (Human)	111
enst00000529614		E9PHY4	E9PHY4_HUMAN	unreviewed	BET1-like protein	BET1L	Homo sapiens (Human)	92
enst00000332865		H7BXT7	H7BXT7_HUMAN	unreviewed	BET1-like protein	BET1L	Homo sapiens (Human)	58
enst00000486280		E9PQJ6	E9PQJ6_HUMAN	unreviewed	BET1-like protein	BET1L	Homo sapiens (Human)	88
enst00000528357		E9PI04	E9PI04_HUMAN	unreviewed	Synembryn-A (Fragment)	RIC8A	Homo sapiens (Human)	148
enst00000530889		E9PSI0	E9PSI0_HUMAN	unreviewed	Synembryn-A (Fragment)	RIC8A	Homo sapiens (Human)	183
enst00000526982,enst00000626818		E9PLE5	E9PLE5_HUMAN	unreviewed	Synembryn-A	RIC8A	Homo sapiens (Human)	52
enst00000526104,enst00000325207,enst00000527696	enst00000526104 -> Q9NPQ8-1,enst00000325207 -> Q9NPQ8-3,enst00000527696 -> Q9NPQ8-2	Q9NPQ8	RIC8A_HUMAN	reviewed	Synembryn-A (Protein Ric-8A)	RIC8A	Homo sapiens (Human)	531
enst00000527468		E9PMP0	E9PMP0_HUMAN	unreviewed	Synembryn-A (Fragment)	RIC8A	Homo sapiens (Human)	44
enst00000527728		H0YEN0	H0YEN0_HUMAN	unreviewed	Synembryn-A (Fragment)	RIC8A	Homo sapiens (Human)	286
enst00000524854		H0YE35	H0YE35_HUMAN	unreviewed	Synembryn-A (Fragment)	RIC8A	Homo sapiens (Human)	147
enst00000529275		H0YC88	H0YC88_HUMAN	unreviewed	Synembryn-A (Fragment)	RIC8A	Homo sapiens (Human)	147
enst00000529937		B7WNN4	B7WNN4_HUMAN	unreviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial	SIRT3	Homo sapiens (Human)	134
enst00000525319		E9PK80	E9PK80_HUMAN	unreviewed	NAD-dependent protein deacetylase (EC 2.3.1.286)	SIRT3	Homo sapiens (Human)	318
enst00000524564		E9PN58	E9PN58_HUMAN	unreviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial	SIRT3	Homo sapiens (Human)	353
enst00000532956		E9PM75	E9PM75_HUMAN	unreviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial	SIRT3	Homo sapiens (Human)	345
enst00000382743,enst00000529382	enst00000529382 -> Q9NTG7-2,enst00000382743 -> Q9NTG7-1	Q9NTG7	SIR3_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial (hSIRT3) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 3) (SIR2-like protein 3)	SIRT3 SIR2L3	Homo sapiens (Human)	399
enst00000526854		E9PJS6	E9PJS6_HUMAN	unreviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial	SIRT3	Homo sapiens (Human)	95
enst00000532837,enst00000529055,enst00000530067		E9PIT6	E9PIT6_HUMAN	unreviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial	SIRT3	Homo sapiens (Human)	46
enst00000528469		E9PNA0	E9PNA0_HUMAN	unreviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial (Fragment)	SIRT3	Homo sapiens (Human)	93
enst00000525776		E9PM52	E9PM52_HUMAN	unreviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial (Fragment)	SIRT3	Homo sapiens (Human)	23
enst00000525237		E9PR48	E9PR48_HUMAN	unreviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial (Fragment)	SIRT3	Homo sapiens (Human)	18
enst00000529372		E9PQG3	E9PQG3_HUMAN	unreviewed	26S proteasome non-ATPase regulatory subunit 13	PSMD13	Homo sapiens (Human)	113
enst00000532097,enst00000431206	enst00000431206 -> Q9UNM6-2,enst00000532097 -> Q9UNM6-1	Q9UNM6	PSD13_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)	PSMD13	Homo sapiens (Human)	376
enst00000528906		E9PL38	E9PL38_HUMAN	unreviewed	26S proteasome non-ATPase regulatory subunit 13 (Fragment)	PSMD13	Homo sapiens (Human)	263
