Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Razor + unique peptides 25000am.1	Razor + unique peptides 25000am.2	Razor + unique peptides 25000am.3	Razor + unique peptides 2500am.1	Razor + unique peptides 2500am.2	Razor + unique peptides 2500am.3	Razor + unique peptides 250am.1	Razor + unique peptides 250am.2	Razor + unique peptides 250am.3	Unique peptides 25000am.1	Unique peptides 25000am.2	Unique peptides 25000am.3	Unique peptides 2500am.1	Unique peptides 2500am.2	Unique peptides 2500am.3	Unique peptides 250am.1	Unique peptides 250am.2	Unique peptides 250am.3	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	iBAQ	iBAQ 25000am.1	iBAQ 25000am.2	iBAQ 25000am.3	iBAQ 2500am.1	iBAQ 2500am.2	iBAQ 2500am.3	iBAQ 250am.1	iBAQ 250am.2	iBAQ 250am.3	LFQ intensity 25000am.1	LFQ intensity 25000am.2	LFQ intensity 25000am.3	LFQ intensity 2500am.1	LFQ intensity 2500am.2	LFQ intensity 2500am.3	LFQ intensity 250am.1	LFQ intensity 250am.2	LFQ intensity 250am.3	Potential contaminant	id	Peptide IDs	Peptide is razor	Oxidation (M) site IDs	Oxidation (M) site positions
"conta|P00761|TRYP_PIG;CON__P00761"	"conta|P00761|TRYP_PIG;CON__P00761"	"3;3"	"3;3"	"3;3"	"conta|P00761|TRYP_PIG TRYPSIN PRECURSOR.;"	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	16.5	16.5	24.409	231	"231;231"	0	134.16	14096000000	1174700000	43815000	63951000	58932000	43222000	45806000	49209000	42690000	44212000	43560000	633750000	655310000	639370000	633770000	655930000	627440000	555480000	577290000	552040000	+	0	"3620;4089;6184"	"True;True;True"		
CON__P01966	CON__P01966	3	3	1		1	3	3	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	28.2	10.6	15.184	142	142	0	6.8236	116280000	12920000	761740	744070	262030	0	0	0	0	0	0	4976400	8084400	2006200	0	0	0	0	0	0	+	1	"4302;6133;6312"	"True;True;True"	0	33
"P02768ups|ALBU_HUMAN_UPS;conta|P02768|ALBU_HUMAN;CON__P02768-1;conta|P02769|ALBU_BOVIN;CON__P02769;conta|P02770|ALBU_RAT"	"P02768ups|ALBU_HUMAN_UPS;conta|P02768|ALBU_HUMAN;CON__P02768-1"	"36;36;36;3;3;1"	"36;36;36;3;3;1"	"36;36;36;3;3;1"	"P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human);conta|P02768|ALBU_HUMAN SERUM ALBUMIN PRECURSOR.;"	6	36	36	36	29	27	33	10	13	9	2	2	3	29	27	33	10	13	9	2	2	3	70.7	70.7	66.356	584	"584;609;609;607;607;608"	0	257.3	6070700000	148070000	10372000	12426000	12343000	682870	960950	671700	39366	65279	74193	443680000	452760000	453280000	28436000	30077000	16521000	676680	1265700	1395200	+	2	"5;23;62;378;588;643;645;724;1002;1487;1731;1830;2521;3316;3363;3472;3487;3749;4149;4195;4205;4206;4343;4446;4916;4997;4998;5013;5016;5226;5341;6132;6265;6344;6543;6954"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"1;2;3;4;5"	"86;297;328;445;547"
CON__P04258	CON__P04258	2	2	2		1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	3.3	3.3	138.44	1466	1466	0.0098039	1.493	152470000	1882400	72352	114890	110090	77635	176790	74341	51362	49041	47191	0	0	0	0	16310000	0	0	0	0	+	3	"2044;4757"	"True;True"		
"CON__P04264;conta|P04264|K2C1_HUMAN;CON__ENSEMBL:ENSBTAP00000038253"	"CON__P04264;conta|P04264|K2C1_HUMAN;CON__ENSEMBL:ENSBTAP00000038253"	"4;4;2"	"4;4;2"	"3;3;1"	";conta|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein) - Homo sapiens (Human).;"	3	4	4	3	1	1	2	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	7.5	5.6	66.017	644	"644;643;606"	0	67.65	167830000	4795300	53102	85004	112850	57080	43682	34757	136620	45438	0	1976700	2400100	3093400	2138300	1726400	1392700	3601600	1717100	0	+	4	"1750;3885;5291;5354"	"True;True;True;True"		
CON__P07477	CON__P07477	1	1	1		1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	8.1	8.1	26.558	247	247	0.0020408	1.8465	201300000	16775000	648340	788170	0	715400	739810	822530	418140	531900	625770	8633500	8356600	0	9777300	10112000	10802000	5592700	6941700	8040000	+	5	3621	True		
"CON__P13645;conta|P13645|K1CJ_HUMAN;conta|P02535|K1C10_MOUSE;CON__P02535-1;CON__Q7Z3Y8;CON__Q7Z3Y7;CON__P08779;conta|P08779|K1C16_HUMAN;CON__P02533;conta|P02533|K1CN_HUMAN;CON__Q148H6;CON__A2A4G1;CON__Q7Z3Z0;CON__P19001;CON__P19012;conta|P08730|K1C13_MOUSE;CON__P08730-1;CON__Q99456;CON__Q9QWL7;conta|Q04695|K1C17_HUMAN;CON__Q04695;CON__P08727"	"CON__P13645;conta|P13645|K1CJ_HUMAN"	"7;7;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1"	"7;7;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1"	"6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"	";conta|P13645|K1CJ_HUMAN KERATIN, TYPE I CYTOSKELETAL 10 (CYTOKERATIN 10) (K10) (CK 10)"	22	7	7	6	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	10.1	8.6	59.51	593	"593;593;570;570;459;486;473;473;472;472;464;456;450;403;456;437;437;494;433;432;432;400"	0	39.658	352800000	12600000	389140	531740	464360	336570	440620	424550	406690	373020	417260	12826000	13378000	13037000	12085000	2406900	13304000	13141000	12432000	13046000	+	6	"306;676;3446;3547;5461;5462;6631"	"True;True;True;True;True;True;True"		
CON__P35900	CON__P35900	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.4	2.4	48.486	424	424	0.0010811	2.5178	914720000	27719000	450670	1686400	535600	1106000	1125100	822010	1170000	1241500	1189500	39327000	39957000	40464000	35506000	32958000	38358000	33136000	33257000	32362000	+	7	4868	True		
CON__Q14CN4-1	CON__Q14CN4-1	2	2	2		1	2	2	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	3.9	3.9	55.877	511	511	0.0040323	1.7	249690000	6935900	278880	380170	341660	247960	259270	0	273310	243350	281860	11141000	12092000	11817000	10167000	10631000	0	10967000	9527900	10874000	+	8	"4595;5310"	"True;True"	6	204
CON__Q2KIS7	CON__Q2KIS7	4	4	4		1	4	4	4	3	3	2	0	1	0	0	0	0	3	3	2	0	1	0	0	0	0	28.7	28.7	22.144	202	202	0	110.39	196410000	17855000	1147100	1828800	976210	0	152270	0	0	0	0	11684000	14779000	11685000	0	2181700	0	0	0	0	+	9	"1417;2101;4725;5757"	"True;True;True;True"		
