protein_set_id;sup;accession;gene_name;description;protein_set_score;is_validated;selection_level;#sameset_protein_matches;#subset_protein_matches;coverage;MW;#observable_peptides;#sequences;#specific_sequences;#peptides;#specific_peptides;#peptide_matches;#specific_peptide_matches;peptides_count_A_01.raw.mzDB.t.xml;peptides_count_A_02.raw.mzDB.t.xml;peptides_count_A_03.raw.mzDB.t.xml;peptides_count_A_04.raw.mzDB.t.xml;peptides_count_B_01.raw.mzDB.t.xml;peptides_count_B_02.raw.mzDB.t.xml;peptides_count_B_03.raw.mzDB.t.xml;peptides_count_B_04.raw.mzDB.t.xml;peptides_count_C_01.raw.mzDB.t.xml;peptides_count_C_02.raw.mzDB.t.xml;peptides_count_C_03.raw.mzDB.t.xml;peptides_count_C_04.raw.mzDB.t.xml;psm_count_A_01.raw.mzDB.t.xml;psm_count_A_02.raw.mzDB.t.xml;psm_count_A_03.raw.mzDB.t.xml;psm_count_A_04.raw.mzDB.t.xml;psm_count_B_01.raw.mzDB.t.xml;psm_count_B_02.raw.mzDB.t.xml;psm_count_B_03.raw.mzDB.t.xml;psm_count_B_04.raw.mzDB.t.xml;psm_count_C_01.raw.mzDB.t.xml;psm_count_C_02.raw.mzDB.t.xml;psm_count_C_03.raw.mzDB.t.xml;psm_count_C_04.raw.mzDB.t.xml;raw_abundance_A_01.raw.mzDB.t.xml;raw_abundance_A_02.raw.mzDB.t.xml;raw_abundance_A_03.raw.mzDB.t.xml;raw_abundance_A_04.raw.mzDB.t.xml;raw_abundance_B_01.raw.mzDB.t.xml;raw_abundance_B_02.raw.mzDB.t.xml;raw_abundance_B_03.raw.mzDB.t.xml;raw_abundance_B_04.raw.mzDB.t.xml;raw_abundance_C_01.raw.mzDB.t.xml;raw_abundance_C_02.raw.mzDB.t.xml;raw_abundance_C_03.raw.mzDB.t.xml;raw_abundance_C_04.raw.mzDB.t.xml;abundance_A_01.raw.mzDB.t.xml;abundance_A_02.raw.mzDB.t.xml;abundance_A_03.raw.mzDB.t.xml;abundance_A_04.raw.mzDB.t.xml;abundance_B_01.raw.mzDB.t.xml;abundance_B_02.raw.mzDB.t.xml;abundance_B_03.raw.mzDB.t.xml;abundance_B_04.raw.mzDB.t.xml;abundance_C_01.raw.mzDB.t.xml;abundance_C_02.raw.mzDB.t.xml;abundance_C_03.raw.mzDB.t.xml;abundance_C_04.raw.mzDB.t.xml
66939;1;sp|P0ACB7|HEMY_ECOLI;;sp|P0ACB7|HEMY_ECOLI Protein HemY OS=Escherichia coli (strain K12) OX=83333 GN=hemY PE=1 SV=1;21,278;true;2;1;0;0;0;-1;1;1;1;1;1;1;1;;;;;;;;;;1;;1;0;0;0;0;0;0;0;0;0;1;0;7254680;5429616,5;5846103;6098329;5751079,5;6576708,5;5667144,5;7860749,5;8045032,5;7543297,5;6802462;6574827;6224164;4807963;5513443,5;5637324,5;5866659;6663844,5;5592692,5;7842608,5;8247805;7567447,5;6852165,5;6574827
66953;1;sp|P15078|CSTA_ECOLI;;sp|P15078|CSTA_ECOLI Peptide transporter CstA OS=Escherichia coli (strain K12) OX=83333 GN=cstA PE=1 SV=3;50,072;true;2;1;0;0;0;-1;1;1;1;1;7;7;1;1;;1;;;;;;;1;1;1;1;;1;;;;;0;0;1;1;233418,92;297634,75;;157381,97;;;;;153245,22;178300,86;170021,67;173730,8;200262,14;263557,62;;145484,64;;;;;157107,72;178871,69;171263,97;173730,8
66978;1;sp|P02925|RBSB_ECOLI;;sp|P02925|RBSB_ECOLI Ribose import binding protein RbsB OS=Escherichia coli (strain K12) OX=83333 GN=rbsB PE=1 SV=1;1025,807;true;2;1;0;0;0;-1;21;21;21;21;263;263;12;13;12;14;5;8;6;4;12;14;13;16;12;14;13;15;5;8;6;4;13;14;14;18;51806468;46185772;43518752;45826664;17495928;16723293;16309916;30725622;40965208;42695332;42041324;43853332;44447440;40897824;41042420;42362388;17847542;16944864;16095643;30654714;41997728;42832024;42348508;43853332
66983;1;sp|P42588|PAT_ECOLI;;sp|P42588|PAT_ECOLI Putrescine aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=patA PE=1 SV=2;66,044;true;2;1;0;0;0;-1;1;1;1;1;11;11;;1;1;;;;;;1;;1;1;0;1;1;0;0;0;0;0;1;0;1;1;783079,25;779752,62;924314,12;592147,56;220091,27;240619,58;286984,69;223663,73;798749,62;554949,81;779535,75;975815,5;671844,06;690476,38;871718,12;547384,06;224514,44;243807,58;283214,41;223147,56;818881,81;556726,5;785231,56;975815,5
67011;1;sp|P0AGE9|SUCD_ECOLI;;sp|P0AGE9|SUCD_ECOLI Succinate--CoA ligase [ADP-forming] subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=sucD PE=1 SV=2;394,271;true;2;1;0;0;0;-1;9;8;10;8;143;121;6;5;5;4;2;4;2;4;6;7;7;7;7;5;5;4;2;4;2;4;6;8;7;8;13258146;13954912;12402689;11018872;6807831,5;6336840;6267562,5;5979862;12807332;13653410;12635162;13008128;11374848;12357171;11696942;10185898;6944648,5;6420798;6185222;5966062;13130136;13697122;12727483;13008128
67013;1;sp|P0A799|PGK_ECOLI;;sp|P0A799|PGK_ECOLI Phosphoglycerate kinase OS=Escherichia coli (strain K12) OX=83333 GN=pgk PE=1 SV=2;884,05;true;2;1;0;0;0;-1;21;21;21;21;235;235;9;8;10;7;5;3;3;;14;10;8;9;10;8;11;8;6;3;4;0;16;10;8;10;50327544;47419708;40063580;41728968;19033728;19453354;18289112;18285048;38215904;35291760;36947420;35743780;43178600;41990476;37783860;38574448;19416250;19711094;18048840;18242848;39179128;35404740;37217384;35743780
67016;1;sp|P25714|YIDC_ECOLI;;sp|P25714|YIDC_ECOLI Membrane protein insertase YidC OS=Escherichia coli (strain K12) OX=83333 GN=yidC PE=1 SV=2;28,425;true;2;1;0;0;0;-1;1;1;1;1;1;1;;1;;;;;;;;;;;0;1;0;;0;;0;0;0;0;0;0;910038,88;317855,88;610114,25;;220555,34;;167179,8;192059,16;482638,94;565386,06;556406;448043,19;780769,31;281463,59;575397,06;;224987,84;;164983,47;191615,92;494803,69;567196,12;560471,5;448043,19
67040;1;sp|P0A9Y6|CSPC_ECOLI;;sp|P0A9Y6|CSPC_ECOLI Cold shock-like protein CspC OS=Escherichia coli (strain K12) OX=83333 GN=cspC PE=1 SV=2;365,432;true;2;1;0;0;0;-1;6;6;6;6;148;148;6;6;5;5;3;4;2;3;5;5;5;5;7;8;7;6;3;4;2;4;6;7;7;7;18549592;16705402;18574506;18541604;9521110;9111248;7669260;9040580;16652708;23090056;21263276;21642300;15914652;14792749;17517566;17139948;9712456;9231964;7568505;9019716;17072434;23163978;21418638;21642300
67047;1;sp|P61714|RISB_ECOLI;;sp|P61714|RISB_ECOLI 6,7-dimethyl-8-ribityllumazine synthase OS=Escherichia coli (strain K12) OX=83333 GN=ribE PE=1 SV=1;297,906;true;2;1;0;0;0;-1;4;4;4;4;55;55;3;3;3;3;1;;1;1;3;2;2;3;4;3;3;4;1;0;1;1;4;2;2;3;1326957,62;1276654;2847355;1097250,75;241729,31;234159,62;420488,06;373131,59;2141762,75;2311977;994402,25;2249817,75;1138465,38;1130485,88;2685332,5;1014303,88;246587,34;237262,03;414963,88;372270,5;2195745,25;2319378,75;1001668,12;2249817,75
67068;1;sp|P0A9B2|G3P1_ECOLI;;sp|P0A9B2|G3P1_ECOLI Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) OX=83333 GN=gapA PE=1 SV=2;915,193;true;2;1;0;0;0;-1;19;12;20;12;289;213;15;11;13;14;11;13;12;11;12;13;11;14;17;12;14;14;11;13;13;12;14;14;11;15;188670064;182594832;186365056;193151296;200830672;221070064;228626896;205616112;171147536;158286256;161045792;160633344;161869808;161688976;175760320;178550000;204866784;223999072;225623312;205141600;175461248;158793024;162222528;160633344
